,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
774,1,2,female,0.0,1,3,-0.981576799616082,S,Second,woman,False,Southampton,yes,False,4
775,0,3,male,-1.2237754316221159,0,0,-2.069378172179976,S,Third,man,True,Southampton,no,True,0
777,1,3,female,-3.2386784521643803,0,0,-1.5933443739076494,S,Third,child,False,Southampton,yes,True,0
778,0,3,male,-0.6471951147908197,0,0,-2.0709923775345174,Q,Third,man,True,Queenstown,no,True,0
780,1,3,female,-1.6292405397302803,0,0,-2.1389426355658854,C,Third,child,False,Cherbourg,yes,True,0
781,1,1,female,-1.2927683031090673,1,0,-0.07401974771068161,S,First,woman,False,Southampton,yes,False,1
782,0,1,male,-0.6737290947028438,0,0,-0.7158736338830763,S,First,man,True,Southampton,no,True,0
783,0,3,male,-0.6471951147908197,1,2,-0.9622005206529435,S,Third,man,True,Southampton,no,False,3
784,0,3,male,-0.84078317936601,0,0,-2.1640433987210543,S,Third,man,True,Southampton,no,True,0
785,0,3,male,-0.84078317936601,0,0,-2.136069546678648,S,Third,man,True,Southampton,no,True,0
786,1,3,female,-1.2237754316221159,0,0,-2.1027281518615304,S,Third,woman,False,Southampton,yes,True,0
787,0,3,male,-2.322387720290225,4,1,-0.7454741036593671,Q,Third,child,False,Queenstown,no,False,5
791,0,2,male,-1.3668762752627892,0,0,-0.8589744775237497,S,Second,man,True,Southampton,no,True,0
793,0,1,male,-0.6471951147908197,0,0,-0.6929451781287129,C,First,man,True,Cherbourg,no,True,0
794,0,3,male,-0.84078317936601,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
795,0,2,male,-0.34830669426821587,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
796,1,1,female,-0.10318423623523075,0,0,-0.8617012687652399,S,First,woman,False,Southampton,yes,True,0
797,1,3,female,-0.5996211225491219,0,0,-1.9556693747929268,S,Third,woman,False,Southampton,yes,True,0
798,0,3,male,-0.6359887667199967,0,0,-2.1389426355658854,C,Third,man,True,Cherbourg,no,True,0
799,0,3,female,-0.6359887667199967,1,1,-0.9327866354466501,S,Third,woman,False,Southampton,no,False,2
801,1,2,female,-0.5996211225491219,1,1,-0.849405026507599,S,Second,woman,False,Southampton,yes,False,2
804,1,3,male,-0.7537718023763802,0,0,-2.1747386878378023,S,Third,man,True,Southampton,yes,True,0
805,0,3,male,-0.5996211225491219,0,0,-2.066157557479934,S,Third,man,True,Southampton,no,True,0
806,0,1,male,-0.34830669426821587,0,0,-inf,S,First,man,True,Southampton,no,True,0
807,0,3,female,-1.2237754316221159,0,0,-2.066157557479934,S,Third,woman,False,Southampton,no,True,0
809,1,1,female,-0.5306282510621704,1,0,-0.1448940872973386,S,First,woman,False,Southampton,yes,False,1
810,0,3,male,-0.7963314167951762,0,0,-2.0517917876779,S,Third,man,True,Southampton,no,True,0
811,0,3,male,-0.34830669426821587,0,0,-0.9327866354466501,S,Third,man,True,Southampton,no,True,0
812,0,2,male,-0.46608972992459924,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
813,0,3,female,-2.833213344056216,4,2,-0.674251959192257,S,Third,child,False,Southampton,no,False,6
814,0,3,male,-0.6176396280518002,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
816,0,3,female,-0.9360933591703348,0,0,-2.0470486957818874,S,Third,woman,False,Southampton,no,True,0
817,0,2,male,-0.5996211225491219,1,1,-0.5060395958296653,C,Second,man,True,Cherbourg,no,False,2
818,0,3,male,-0.24294617861038947,0,0,-2.2529908847375504,S,Third,man,True,Southampton,no,True,0
819,0,3,male,-1.9859154836690123,3,2,-0.7884443267179118,S,Third,child,False,Southampton,no,False,5
821,1,3,male,-0.7537718023763802,0,0,-1.95806765102921,S,Third,man,True,Southampton,yes,True,0
822,0,1,male,-0.3764775712349121,0,0,-inf,S,First,man,True,Southampton,no,True,0
823,1,3,female,-0.7537718023763802,0,1,-1.5933443739076494,S,Third,woman,False,Southampton,yes,False,1
825,0,3,male,-0.6471951147908197,0,0,-2.178329355968531,Q,Third,man,True,Queenstown,no,True,0
826,0,3,male,-0.6471951147908197,0,0,-0.08290471643910076,S,Third,man,True,Southampton,no,True,0
828,1,3,male,-0.6471951147908197,0,0,-2.069378172179976,Q,Third,man,True,Queenstown,yes,True,0
830,1,3,female,-1.4469189829363254,1,0,-1.4460859857800346,C,Third,child,False,Cherbourg,yes,False,1
833,0,3,male,-0.9360933591703348,0,0,-2.0560225949822875,S,Third,man,True,Southampton,no,True,0
834,0,3,male,-1.2237754316221159,0,0,-2.0008155007426796,S,Third,man,True,Southampton,no,True,0
836,0,3,male,-1.0414538748281612,0,0,-1.95806765102921,S,Third,man,True,Southampton,no,True,0
839,1,1,male,-0.6471951147908197,0,0,-0.7259239697365779,C,First,man,True,Cherbourg,yes,True,0
840,0,3,male,-1.0986122886681098,0,0,-2.0470486957818874,S,Third,man,True,Southampton,no,True,0
841,0,2,male,-1.3668762752627892,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
842,1,1,female,-0.6359887667199967,0,0,-0.6830838110600855,C,First,woman,False,Cherbourg,yes,True,0
843,0,3,male,-0.4818380868927383,0,0,-2.254930749555377,C,Third,man,True,Cherbourg,no,True,0
845,0,3,male,-0.2682639865946794,0,0,-2.0955234522842985,S,Third,man,True,Southampton,no,True,0
847,0,3,male,-0.46608972992459924,0,0,-2.0507400430154914,C,Third,man,True,Cherbourg,no,True,0
848,0,2,male,-0.7129498078561249,0,1,-0.6205634540787515,S,Second,man,True,Southampton,no,False,1
850,0,3,male,-3.9318256327243257,4,2,-0.674251959192257,S,Third,child,False,Southampton,no,False,6
852,0,3,female,-2.1400661634962708,1,1,-1.3927669602601305,C,Third,child,False,Cherbourg,no,False,2
853,1,1,female,-1.3668762752627892,0,1,-0.4433051992413436,S,First,woman,False,Southampton,yes,False,1
854,0,2,female,-0.21825356602001794,1,0,-0.8589744775237497,S,Second,woman,False,Southampton,no,False,1
855,1,3,female,-1.2237754316221159,0,1,-1.8816946722446362,S,Third,woman,False,Southampton,yes,False,1
857,1,1,male,-0.060624621816434854,0,0,-0.838041267857284,S,First,man,True,Southampton,yes,True,0
858,1,3,female,-0.8873031950009028,0,3,-1.15912887890684,C,Third,woman,False,Cherbourg,yes,False,3
860,0,3,male,-0.29423947299793995,2,0,-1.4703077388667505,S,Third,man,True,Southampton,no,False,2
861,0,2,male,-1.0414538748281612,1,0,-1.6747239801760272,S,Second,man,True,Southampton,no,False,1
862,1,1,female,-0.12516314295400605,0,0,-0.8617012687652399,S,First,woman,False,Southampton,yes,True,0
864,0,2,male,-0.8873031950009028,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
865,1,2,female,-0.2682639865946794,0,0,-1.552121658083695,S,Second,woman,False,Southampton,yes,True,0
866,1,2,female,-0.7537718023763802,1,0,-1.4881866844288845,C,Second,woman,False,Cherbourg,yes,False,1
867,0,1,male,-0.5996211225491219,0,0,-0.1951808510394255,S,First,man,True,Southampton,no,True,0
868,0,3,male,-0.6471951147908197,0,0,-1.8657792169387366,S,Third,man,True,Southampton,no,True,0
869,1,3,male,-3.9318256327243257,1,1,-1.7071303982471446,S,Third,child,False,Southampton,yes,False,2
871,1,1,female,-0.14763599880606468,1,1,-0.1552259975339978,S,First,woman,False,Southampton,yes,False,2
872,0,1,male,-0.5306282510621704,0,0,-2.5076331031111314,S,First,man,True,Southampton,no,True,0
873,0,3,male,-0.14763599880606468,0,0,-1.9198464382090124,S,Third,man,True,Southampton,no,True,0
874,1,2,female,-0.7129498078561249,1,0,-0.9390171851972862,C,Second,woman,False,Cherbourg,yes,False,1
875,1,3,female,-1.4469189829363254,0,0,-2.139523781546736,C,Third,child,False,Cherbourg,yes,True,0
876,0,3,male,-1.0986122886681098,0,0,-1.8300260472329186,S,Third,man,True,Southampton,no,True,0
880,1,2,female,-0.84078317936601,0,1,-0.8589744775237497,S,Second,woman,False,Southampton,yes,False,1
881,0,3,male,-0.5306282510621704,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
882,0,3,female,-0.9873866535578852,0,0,-1.7641065456590346,S,Third,woman,False,Southampton,no,True,0
883,0,2,male,-0.7129498078561249,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
885,0,3,female,-0.34830669426821587,0,5,-0.7454741036593671,Q,Third,woman,False,Queenstown,no,False,5
887,1,1,female,-1.1592369104845446,0,0,-0.7158736338830763,S,First,woman,False,Southampton,yes,True,0
888,0,3,female,-0.6471951147908197,1,2,-0.9622005206529435,S,Third,woman,False,Southampton,no,False,3
889,1,1,male,-0.7963314167951762,0,0,-0.7158736338830763,C,First,man,True,Cherbourg,yes,True,0
890,0,3,male,-0.5645298027378518,0,0,-2.069378172179976,Q,Third,man,True,Queenstown,no,True,0
